District,Constituency,Constituency Category,Candidate,Gender,Candidate Category,Age,Party,Votes,Position
RAICHUR ,Lingsugur,SC,NANDAPPA P BOMBAYKAR,M,SC,38,IND,1101,9
RAICHUR ,Lingsugur,SC,SHEKHARAPPA SHIVANGI,M,SC,65,JD(U),969,10
RAICHUR ,Lingsugur,SC,SUBHAS Y CHAWAN,M,SC,26,KRRS,940,11
RAICHUR ,Lingsugur,SC,BALARAMA,M,SC,64,IND,868,12
RAICHUR ,Lingsugur,SC,PAMPAPATHI GUDADUR,M,SC,42,BSP,757,13
RAICHUR ,Lingsugur,SC,DANAMMA SHIVASHANKARAPPA,F,SC,51,IND,720,14
RAICHUR ,Sindhanur,GEN,BADARLI HAMPANAGOUDA,M,GEN,63,INC,49213,1
RAICHUR ,Sindhanur,GEN,K.KARIYAPPA,M,GEN,47,BSRCP,36197,2
RAICHUR ,Sindhanur,GEN,VENKATA RAO NADAGOUDA,M,GEN,56,JD(S),30895,3
RAICHUR ,Sindhanur,GEN,RAJASHEKHAR PATIL,M,GEN,50,KJP,11692,4
RAICHUR ,Sindhanur,GEN,KOLLA SHESHAGIRIRAO,M,GEN,52,BJP,10557,5
RAICHUR ,Sindhanur,GEN,RAMANNA ELEKUDALAGI,M,GEN,52,IND,1176,6
RAICHUR ,Sindhanur,GEN,COM|| BASHUMIYA,M,GEN,57,CPI,997,7
RAICHUR ,Sindhanur,GEN,A.RAMESH PATIL BERGI,M,GEN,42,CPIM,868,8
RAICHUR ,Sindhanur,GEN,SYED SABIR NANA,M,GEN,38,KMP,667,9
RAICHUR ,Sindhanur,GEN,BASANAGOUDA,M,GEN,48,IND,657,10
RAICHUR ,Sindhanur,GEN,JAGIRDAR SHANTHAGOUDA,M,GEN,45,JD(U),651,11
RAICHUR ,Sindhanur,GEN,BASAVARAJ BADARLI,M,GEN,33,IND,639,12
RAICHUR ,Sindhanur,GEN,GOUDAPPA,M,GEN,32,IND,526,13
RAICHUR ,Sindhanur,GEN,M.K.JAGGESH,M,SC,38,BSP,473,14
RAICHUR ,Maski,ST,PRATAPGOWDA PATIL,M,ST,58,INC,45552,1
RAICHUR ,Maski,ST,MAHADEVAPPA GOWDA,M,ST,67,KJP,26405,2
RAICHUR ,Maski,ST,SHEKHARAPPA TALWAR,M,ST,42,BSRCP,18197,3
RAICHUR ,Maski,ST,SHANKARKUMARA MEDARA,M,ST,48,BJP,4264,4
RAICHUR ,Maski,ST,AMARESH,M,ST,48,JD(S),3488,5
RAICHUR ,Maski,ST,R RANGAPPA NAYAKA,M,ST,28,IND,2877,6
RAICHUR ,Maski,ST,AMRESH NAYAKA,M,ST,38,SJPA,2152,7
RAICHUR ,Maski,ST,NAGARAJ MEDAR,M,ST,27,CPIM,1107,8
RAICHUR ,Maski,ST,TIRUPATI,M,ST,46,IND,1036,9
RAICHUR ,Maski,ST,NAGARAJA CHIGARI,M,ST,33,BSP,650,10
KOPPAL ,Kushtagi,GEN,DODDANAGOUDA HANAMAGOUDA PATIL,M,GEN,44,BJP,44007,1
KOPPAL ,Kushtagi,GEN,AMAREGOUDA LINGANAGOUDA PATIL BAYYAPUR,M,GEN,58,INC,40970,2
KOPPAL ,Kushtagi,GEN,K.SHARANAPPA VAKEELARU,M,GEN,71,JD(S),26691,3
KOPPAL ,Kushtagi,GEN,GONAL RAJASHEKAR GOUDA,M,GEN,34,BSRCP,17543,4
KOPPAL ,Kushtagi,GEN,HIREMATH SANGAMESH SHEKARAYYA,M,GEN,70,IND,1743,5
KOPPAL ,Kushtagi,GEN,PURADAPPA KANDGAL VAKEELARU,M,GEN,64,IND,1496,6
KOPPAL ,Kushtagi,GEN,FAKIRAPPA SOMAPPA CHALAGERI VAKEELARU,M,GEN,52,KJP,1442,7
KOPPAL ,Kushtagi,GEN,LAXMANA DURAGAPPA TALAWAR,M,ST,42,IND,955,8
KOPPAL ,Kushtagi,GEN,SHIVAPUTRAPPA GUMGERI,M,SC,46,BSP,833,9
KOPPAL ,Kushtagi,GEN,MARIYAPPA BASAPPA MADIWALAR,M,GEN,37,IND,822,10
KOPPAL ,Kushtagi,GEN,BASAVARAJ NARASAPPA BILKAR HANAMSAGAR,M,GEN,50,IND,509,11
KOPPAL ,Kushtagi,GEN,ABDUL NAYEEM ABDUL RABSAB,M,GEN,43,IND,492,12
KOPPAL ,Kushtagi,GEN,BASAVARAJ MARIYAPPA BUNNATTI,M,SC,50,CPIM,384,13
KOPPAL ,Kushtagi,GEN,MALLIKARJUNSWAMI V HIREMATH (CHALAGERA),M,GEN,51,JD(U),359,14
KOPPAL ,Kanakagiri,SC,SHIVARAJ SANGAPPA TANGADAGI,M,SC,42,INC,49451,1
KOPPAL ,Kanakagiri,SC,BASAVARAJ DADHESUGURU,M,SC,33,KJP,44399,2
KOPPAL ,Kanakagiri,SC,BHAVANIMATHA MUKUNDARAO,M,SC,44,BSRCP,28117,3
KOPPAL ,Kanakagiri,SC,RAMANAYAK LACHAMAPPPA NAYAK LAMANI,M,SC,48,BJP,2948,4
KOPPAL ,Kanakagiri,SC,RAMESH KOTI,M,SC,42,IND,1524,5
KOPPAL ,Kanakagiri,SC,VITHOBA BALADASAPPA DASAR,M,SC,35,IND,1418,6
KOPPAL ,Kanakagiri,SC,PRAKASHA. L. RATHOD,M,SC,45,JD(S),1166,7
KOPPAL ,Kanakagiri,SC,PALAKSHAYYA SHIVAMURTHAYYA HIREMATH,M,SC,60,IND,1080,8
KOPPAL ,Kanakagiri,SC,TIPPANNA V,M,SC,69,IND,1062,9
KOPPAL ,Kanakagiri,SC,AKKIROTTI HULAGAPPA PAMAPPA,M,SC,51,CPM,1028,10
KOPPAL ,Kanakagiri,SC,SHREEDHAR,M,SC,26,BSP,805,11
KOPPAL ,Kanakagiri,SC,DYAMAMMA MANKALEPPA CHOUDKI,F,SC,29,CPIM,751,12
KOPPAL ,Kanakagiri,SC,MOTILAL NAYAK RATHOD,M,SC,68,IND,579,13
KOPPAL ,Kanakagiri,SC,M. YESAPPA,M,SC,33,CPI(ML)(L),560,14
KOPPAL ,Kanakagiri,SC,NAGARAJA TIPPANNA WADDAR,M,SC,46,IND,558,15
KOPPAL ,Gangawati,GEN,IQBAL ANSARI,M,GEN,51,JD(S),60303,1
KOPPAL ,Gangawati,GEN,PARANNA ESHWARAPPA MUNAVALLI,M,GEN,58,BJP,30514,2
KOPPAL ,Gangawati,GEN,H. R. SRINATH,M,GEN,48,INC,20248,3
KOPPAL ,Gangawati,GEN,BASAVARAJ PATIL ANVARI,M,GEN,69,KJP,7058,4
KOPPAL ,Gangawati,GEN,PAMPANAGOWDRU POLICE PATEL,M,GEN,48,BSRCP,3015,5
KOPPAL ,Gangawati,GEN,SHARANABASAPPA.S PAN SHOP,M,GEN,41,IND,1642,6
KOPPAL ,Gangawati,GEN,BHARADVAJ SUBBARAO,M,GEN,66,CPI(ML)(L),971,7
KOPPAL ,Gangawati,GEN,VIJAYAKUMAR.J,M,GEN,39,PPOI,843,8
KOPPAL ,Gangawati,GEN,HULUGAPPA DEVERAMANI,M,SC,54,BSP,749,9
KOPPAL ,Yelburga,GEN,BASAVARAJ RAYARADDY,M,GEN,57,INC,52388,1
KOPPAL ,Yelburga,GEN,ACHAR HALAPPA BASAPPA,M,GEN,60,BJP,35488,2
KOPPAL ,Yelburga,GEN,G.T.PAMPAPATI,M,GEN,37,JD(S),12040,3
KOPPAL ,Yelburga,GEN,NAVEEN KUMAR. E. GULAGANNANAVAR,M,GEN,31,BSRCP,10640,4
KOPPAL ,Yelburga,GEN,C.H. PATIL,M,GEN,53,KJP,10212,5
KOPPAL ,Yelburga,GEN,NAGARAJ KOLAJI,M,GEN,43,IND,9888,6
KOPPAL ,Yelburga,GEN,SOMASHEKAR T. M,M,GEN,46,IND,2018,7
KOPPAL ,Yelburga,GEN,SHIVASHANKARAYYA BALIGERIMATH,M,GEN,49,IND,1233,8
KOPPAL ,Yelburga,GEN,DURAGAPPA AYYAPPA TALAKERI,M,SC,39,BSP,810,9
KOPPAL ,Yelburga,GEN,SIDDAPPA HAKKIGUNI,M,GEN,30,IND,793,10
KOPPAL ,Yelburga,GEN,SHIVASHANKAR LINGARAJ DESAI,M,GEN,43,IND,718,11
KOPPAL ,Yelburga,GEN,GANIGER MALAKAJAPPA SHIVARUDRAPPA,M,GEN,40,IND,501,12
KOPPAL ,Koppal,GEN,K.RAGHAVENDRA BASAVARAJ HITNAL,M,GEN,34,INC,81062,1
KOPPAL ,Koppal,GEN,KARADI SANGANNA AMARAPPA,M,GEN,59,BJP,54274,2
KOPPAL ,Koppal,GEN,PRADEEP VIRUPAKSHAGOUDA,M,GEN,45,JD(S),6811,3
KOPPAL ,Koppal,GEN,K.M.SYED,M,GEN,31,KJP,4118,4
KOPPAL ,Koppal,GEN,NEKKANTI NAGARAJ,M,GEN,36,BSRCP,2609,5
KOPPAL ,Koppal,GEN,SHIVAKUMAR VADERAHALLI,M,GEN,34,NCP,1333,6
KOPPAL ,Koppal,GEN,HADAPAD NIRMALA MALLIKARJUN,F,GEN,39,BSP,611,7
KOPPAL ,Koppal,GEN,MANJUNATH.E.CHAKRASALI,M,GEN,37,CPIM,599,8
GADAG,Shirahatti,SC,DODDAMANI RAMAKRISHNA SHIDDLINGAPPA,M,SC,57,INC,44738,1
GADAG,Shirahatti,SC,RAMAPPA SOBEPPA LAMANI,M,SC,60,BJP,44423,2
GADAG,Shirahatti,SC,JAYASHREE MAHANTESH HALLEPPANAVAR,F,SC,29,BSRCP,26791,3
GADAG,Shirahatti,SC,GURAPPA SHIDDAPPA VADDAR,M,SC,52,JD(S),5520,4
GADAG,Shirahatti,SC,SHOBHA KRISHNAPPA LAMANI,F,SC,36,KJP,3841,5
GADAG,Shirahatti,SC,SANDAKAD DODDAHUCHAPPA DODDAYALLAPPA,M,SC,39,IND,1947,6
GADAG,Shirahatti,SC,BENAKAPPA BAJANEPPA PUJAR,M,SC,39,JD(U),791,7
GADAG,Shirahatti,SC,BHAJEKKANAVAR FAKKIRAPPA DANDAPPA,M,SC,31,IND,775,8
GADAG,Shirahatti,SC,SHEKAPPA BOJAPPA LAMANI,M,SC,48,IND,710,9
GADAG,Shirahatti,SC,KORADAL SHIVAPPA FAKKIRAPPA,M,SC,34,IND,580,10
GADAG,Shirahatti,SC,DURAGAPPA SAREPPA PUJAR,M,SC,50,BSP,560,11
GADAG,Shirahatti,SC,PARASHURAM PUTTAPPA BAJANTRI,M,SC,51,IND,551,12
GADAG,Gadag,GEN,H K PATIL,M,GEN,60,INC,70475,1
GADAG,Gadag,GEN,ANIL PRAKASHBABU MENSINKAI,M,GEN,39,BSRCP,36748,2
GADAG,Gadag,GEN,BIDARUR SHREESHAILAPPA VIRUPAXAPPA,M,GEN,51,BJP,18715,3
GADAG,Gadag,GEN,S B SANKANNAVAR,M,GEN,69,KJP,4808,4
GADAG,Gadag,GEN,ANDANAYYA GURUPADAYYA KURTAKOTI,M,GEN,42,JD(S),1339,5
GADAG,Gadag,GEN,SATYAPPANAVAR BIMAPPA GONEPPA,M,GEN,73,IND,1062,6
GADAG,Gadag,GEN,SHYAM MOTILALASA BHANDAGE,M,GEN,41,SK,845,7
GADAG,Gadag,GEN,ASHOK MALLAPPA JAVALI,M,GEN,47,NCP,761,8
GADAG,Gadag,GEN,MAHADEV H CHALAVADI,M,SC,28,BSP,537,9
GADAG,Gadag,GEN,ABDULMUNAF ABDULSATTAR KHAZI,M,GEN,49,NPP,438,10
GADAG,Gadag,GEN,MANJUNATH VASANT NEELGUND,M,SC,26,LJP,356,11
GADAG,Gadag,GEN,TIRLAPUR ABDULRAHAMANSAB JANGLISAB,M,GEN,36,JD(U),230,12
GADAG,Ron,GEN,GURUPADAGOUDA  SANGANAGOUDA  PATIL,M,GEN,65,INC,74593,1
GADAG,Ron,GEN,KALAKAPPA GURUSHANTHAPPA BANDI,M,GEN,44,BJP,56366,2
GADAG,Ron,GEN,HEMAGIRISH  GURUPADAPPA HAVINAL,M,GEN,36,JD(S),6334,3
GADAG,Ron,GEN,RANGANGOUDA  VASUDEVAGOUDA  PATIL,M,ST,36,IND,1976,4
GADAG,Ron,GEN,ASHOK V BAVENAKATTI,M,GEN,46,BSRCP,1636,5
GADAG,Ron,GEN,MALLIKARJUNGOUDA  B  SANKANAGOUDRA,M,GEN,50,IND,1472,6
GADAG,Ron,GEN,SHARNAPPA BASAPPA MENASHINKAI,M,GEN,38,KJP,1372,7
GADAG,Ron,GEN,NIGABASAPPA  RAMAPPA  DODDAMANI,M,SC,39,BSP,1210,8
GADAG,Ron,GEN,MALLIKARJUN  KALLAPPA  BUDIHAL,M,GEN,37,IND,376,9
GADAG,Ron,GEN,MALAJI  MOTILALASA  VASUSA,M,GEN,63,SK,282,10
GADAG,Ron,GEN,TEGGINAMANI  FAKIRAPPA NEELAPPA,M,SC,32,LJP,151,11
GADAG,Ron,GEN,BASAVARAJA   VEERAPPA  DOTIHAL,M,GEN,41,NPP,137,12
GADAG,Nargund,GEN,B R YAVAGAL,M,GEN,66,INC,59620,1
GADAG,Nargund,GEN,C C PATIL,M,GEN,54,BJP,51035,2
GADAG,Nargund,GEN,S H SHIVANAGOUDAR,M,GEN,44,BSRCP,6908,3
GADAG,Nargund,GEN,V R RAMANANDA,M,GEN,46,IND,3410,4
GADAG,Nargund,GEN,PRAKASH NINGAPPA KARI,M,GEN,34,JD(S),2976,5
GADAG,Nargund,GEN,SURESH MAHARUDRAPPA MUNDARAGI,M,GEN,37,IND,1449,6
GADAG,Nargund,GEN,KUBERAGOUDA SHIVANAGOUDA PARWATGOUDRA,M,GEN,48,KJP,1054,7
GADAG,Nargund,GEN,KADIYAVAR HEMANTHA MALLAPPA,M,SC,31,LJP,931,8
GADAG,Nargund,GEN,SHAKUNTALA YAMANAPPA KONDABINGI,F,ST,38,IND,502,9
GADAG,Nargund,GEN,PATIL KRISHNAGOUDA RANGANAGOUDA,M,GEN,60,IND,418,10
GADAG,Nargund,GEN,GURUSIDDAPPA HONAKERAPPA DESAI,M,GEN,81,RCMP,327,11
DHARWAD ,Navalgund,GEN,N.H.KONARADDI,M,GEN,49,JD(S),44448,1
DHARWAD ,Navalgund,GEN,PATIL  MUNENAKOPPA SHANKAR,M,GEN,45,BJP,41779,2
DHARWAD ,Navalgund,GEN,GADDI KALLAPPA NAGAPPA,M,GEN,46,INC,30780,3
DHARWAD ,Navalgund,GEN,SHIVANAND BASAPPA KARIGAR (MUDNUR),M,GEN,36,IND,8901,4
DHARWAD ,Navalgund,GEN,DR: SHIRIYANNAVAR ,M,GEN,68,KJP,4028,5
DHARWAD ,Navalgund,GEN,SUBHASHCHANDRAGOUDA BHIMANAGOUDA  PATIL (CHANDRAGOUDA),M,GEN,63,IND,2356,6
DHARWAD ,Navalgund,GEN,SHAMBHULINGA C  SIDRAMASHETTAR,M,GEN,42,BSRCP,1109,7
DHARWAD ,Navalgund,GEN,SAIDAPUR YELLAPPA DUNDUR ,M,ST,30,BSP,935,8
DHARWAD ,Navalgund,GEN,VIRUPAKSHAGOUDA SHIVANAGOUDA  KULKARNI,M,GEN,34,IND,782,9
DHARWAD ,Navalgund,GEN,VINAYAKUMAR P MYAGERI,M,SC,27,IND,465,10
DHARWAD ,Navalgund,GEN,GURUSHANTHAPPA HANAMAPPA  CHALAWADI,M,SC,55,RCMP,338,11
DHARWAD ,Navalgund,GEN,R.D. RANGASWAMY,M,GEN,53,IND,317,12
DHARWAD ,Navalgund,GEN,CHANDRASHEKAR DEMAPPA BUGATI,M,GEN,46,LJP,317,13
DHARWAD ,Navalgund,GEN,DOCTOR MOHAMMADUSMAN MOHMMADGOUS,M,GEN,51,IND,285,14
DHARWAD ,Navalgund,GEN,BASAVENNEVVA YELLAPPA KADROLLI,F,GEN,51,IND,275,15
DHARWAD ,Navalgund,GEN,METIGOUDRA  PRAKASHAGOUDA MALLANAGOUDA,M,GEN,46,JD(U),232,16
DHARWAD ,Kundgol,GEN,CHANNABASAPPA SATYAPPA SHIVALLI,M,GEN,51,INC,52690,1
DHARWAD ,Kundgol,GEN,CHIKKANGOUDRA SIDDANGOUDA ISHWARGOUD,M,GEN,61,KJP,31618,2
DHARWAD ,Kundgol,GEN,M R PATIL,M,GEN,50,BJP,23641,3
DHARWAD ,Kundgol,GEN,AKKI MALLIKARJUN SAHADEVAPPA,M,GEN,53,JD(S),15613,4
DHARWAD ,Kundgol,GEN,VEERUPAKSHAPPAGOUDA NAGANGOUDA FAKKIRAGOUDRA,M,GEN,54,IND,2309,5
DHARWAD ,Kundgol,GEN,VEERUPAKSHAPPA KALLIMANI,M,GEN,44,BSRCP,869,6
DHARWAD ,Kundgol,GEN,CHANNAPPA MALLAPPA KAMADOLLI,M,GEN,54,IND,694,7
DHARWAD ,Kundgol,GEN,KURUBAR CHANDRAPPA GANESHAPPA,M,GEN,34,BSP,600,8
DHARWAD ,Kundgol,GEN,KIRAN FAKKIRAPPA SHETTEPPANAVAR,M,GEN,33,KMP,576,9
DHARWAD ,Kundgol,GEN,GOKAK JAILANI MAHABUBSAB,M,GEN,30,IND,498,10
DHARWAD ,Kundgol,GEN,KUTUBUDDIN IMAMSAB BELAGALI,M,GEN,33,NPP,409,11
DHARWAD ,Dharwad,GEN,VINAY KULKARNI,M,GEN,46,INC,53453,1
DHARWAD ,Dharwad,GEN,AMRUT AYYAPPA DESAI,M,GEN,36,JD(S),35133,2
DHARWAD ,Dharwad,GEN,ASHTAGI TAVANAPPA PAYAPPA,M,GEN,52,KJP,21589,3
DHARWAD ,Dharwad,GEN,SEEMA ASHOK MASUTI,F,GEN,41,BJP,16896,4
DHARWAD ,Dharwad,GEN,SOMAPPA BASAPPA BENAKATTI,M,GEN,36,IND,2162,5
DHARWAD ,Dharwad,GEN,BASAVARAJ BUDIHAL,M,GEN,33,NCP,811,6
DHARWAD ,Dharwad,GEN,BASAVARAJ YALLAPPA PARASANNAVAR,M,ST,50,IND,718,7
DHARWAD ,Dharwad,GEN,MANJUNATH HANAMANTAPPA MANGALAGATTI,M,SC,29,IND,578,8
DHARWAD ,Dharwad,GEN,YOGESHGOUDA NINGANGOUDA GOUDAR,M,GEN,34,BSRCP,405,9
DHARWAD ,Dharwad,GEN,NIJAMUDDIN (HANNU) ABDULNABI SOUDAGAR,M,GEN,62,IND,357,10
DHARWAD ,Dharwad,GEN,PATIL BASAVARAJ NINGANAGOUDA,M,GEN,50,IND,343,11
DHARWAD ,Dharwad,GEN,AZALFARIDA GOUSUSAB RONAD,F,GEN,41,IND,330,12
DHARWAD ,Dharwad,GEN,SHRISHAILAGOUDA GIRIYAPPAGOUDA KAMATAR,M,GEN,35,JD(U),243,13
DHARWAD ,Hubli-dharwad-East,SC,ABBAYYA PRASAD,M,SC,44,INC,42353,1
DHARWAD ,Hubli-dharwad-East,SC,VEERABHADRAPPA HALAHARAVI,M,SC,49,BJP,28831,2
DHARWAD ,Hubli-dharwad-East,SC,BIJAWAD SHANKARAPPA KASHAPPA,M,SC,55,KJP,26312,3
DHARWAD ,Hubli-dharwad-East,SC,ALKOD HANUMANTHAPPA Y,M,SC,54,JD(S),8431,4
DHARWAD ,Hubli-dharwad-East,SC,VENKAPPA F SIDDANATH,M,SC,34,IND,850,5
DHARWAD ,Hubli-dharwad-East,SC,GURUNATH SHANKER GABBUR,M,SC,34,IND,669,6
DHARWAD ,Hubli-dharwad-East,SC,NINGAPPA PIRAPPA MARAGANOOR,M,SC,32,BSP,628,7
DHARWAD ,Hubli-dharwad-East,SC,BALLARY BABU SUNKAPPA,M,SC,35,BSRCP,606,8
DHARWAD ,Hubli-dharwad-East,SC,CHENNU MALLIGEWAD,M,SC,45,RPI(A),414,9
DHARWAD ,Hubli-dharwad-Central,GEN,JAGADISH SHETTAR,M,GEN,57,BJP,58201,1
DHARWAD ,Hubli-dharwad-Central,GEN,DR. MAHESH NALWAD,M,GEN,49,INC,40447,2
DHARWAD ,Hubli-dharwad-Central,GEN,SHAMS TABREZ SAMSI,M,GEN,51,JD(S),7898,3
DHARWAD ,Hubli-dharwad-Central,GEN,S. S. PATIL,M,GEN,65,KJP,5481,4
DHARWAD ,Hubli-dharwad-Central,GEN,SIRAJAHMED MULLA,M,GEN,42,IND,967,5
DHARWAD ,Hubli-dharwad-Central,GEN,PREMANATH CHIKKATUMBAL,M,SC,36,BSP,632,6
DHARWAD ,Hubli-dharwad-Central,GEN,SAYAD SALAUDDIN SAYAD GOUSE MULLA,M,GEN,41,IND,588,7
DHARWAD ,Hubli-dharwad-Central,GEN,VISHNUSA RAJANASA PAWAR,M,GEN,54,IND,523,8
DHARWAD ,Hubli-dharwad-Central,GEN,RENUKA SHINDE,F,GEN,53,NCP,522,9
DHARWAD ,Hubli-dharwad-Central,GEN,SHIDDALINGAPPA  RAWAPPA KAMPLI,M,GEN,72,IND,375,10
DHARWAD ,Hubli-dharwad-Central,GEN,MANOJ BABURAO HANGAL,M,GEN,48,IND,346,11
DHARWAD ,Hubli-dharwad-Central,GEN,RAVI KALAL,M,GEN,33,JD(U),213,12
DHARWAD ,Hubli-dharwad-Central,GEN,VISHAL MOHAN SUTAGATTI,M,GEN,38,IND,200,13
DHARWAD ,Hubli-dharwad-Central,GEN,VINOD PAWAR,M,GEN,29,IND,194,14
DHARWAD ,Hubli-dharwad-Central,GEN,GUDIPATI  JASHUVA,M,GEN,34,IND,194,15
DHARWAD ,Hubli-dharwad-Central,GEN,JAFAR NANNESAB DHARAWAD,M,GEN,34,IND,168,16
DHARWAD ,Hubli-dharwad-Central,GEN,AJIJNAJ D MOMIN,M,GEN,28,IUML,132,17
DHARWAD ,Hubli-dharwad-Central,GEN,RAVI BASAPPA MUGAD,M,GEN,32,IND,117,18
DHARWAD ,Hubli-dharwad-Central,GEN,BABAJAN MAKATUMHUSSAIN GHANTIWALE,M,GEN,34,IND,113,19
DHARWAD ,Hubli-dharwad- West,GEN,ARAVIND CHANDRAKANT BELLAD,M,GEN,43,BJP,42003,1
DHARWAD ,Hubli-dharwad- West,GEN,S. R. MOREY,M,GEN,72,INC,30821,2
DHARWAD ,Hubli-dharwad- West,GEN,ISMAIL TAMATGAR,M,GEN,34,JD(S),30312,3
DHARWAD ,Hubli-dharwad- West,GEN,MOHAN LIMBIKAI,M,GEN,54,KJP,12216,4
DHARWAD ,Hubli-dharwad- West,GEN,GURURAJ HUNASHIMARAD,M,GEN,44,IND,2471,5
DHARWAD ,Hubli-dharwad- West,GEN,DAMBAL HANUMANT,M,GEN,60,BSRCP,1807,6
DHARWAD ,Hubli-dharwad- West,GEN,SURESH VEERABHADRAPPA KATAGI,M,GEN,55,IND,1091,7
DHARWAD ,Hubli-dharwad- West,GEN,LAXMAN BASAPPA DODDAMANI,M,SC,41,IND,1066,8
DHARWAD ,Hubli-dharwad- West,GEN,NAGARAJ TIGADI,M,GEN,50,LSP,843,9
DHARWAD ,Hubli-dharwad- West,GEN,ISHWAR MALLAPPA SANIKOP,M,GEN,54,IND,821,10
DHARWAD ,Hubli-dharwad- West,GEN,RATNAKAR NARAYAN RAIKAR,M,GEN,62,IND,799,11
DHARWAD ,Hubli-dharwad- West,GEN,VADIRAJ MADHUSUDHAN MANNARI(PANDURANGI),M,GEN,42,NCP,745,12
DHARWAD ,Hubli-dharwad- West,GEN,BAKKAYI LAXMAN CHANDRAPPA,M,SC,50,BSP,645,13
DHARWAD ,Hubli-dharwad- West,GEN,H.G. DESAI,M,GEN,40,SUCI,339,14
DHARWAD ,Hubli-dharwad- West,GEN,KUMAR DESAI RAYANAGOUDA DYAMANAGOUDA,M,GEN,52,IND,322,15
DHARWAD ,Hubli-dharwad- West,GEN,RAJU KAMBLE,M,SC,29,BhJD,241,16
DHARWAD ,Hubli-dharwad- West,GEN,ANITA HORADI,F,GEN,49,IND,221,17
DHARWAD ,Hubli-dharwad- West,GEN,ANWARSAB BASHASAB RAIBAG,M,GEN,60,IND,147,18
DHARWAD ,Kalghatgi,GEN,SANTHOSH S LAD,M,GEN,38,INC,76802,1
DHARWAD ,Kalghatgi,GEN,NIMBANNAVAR CHANNAPPA MALLAPPA,M,GEN,65,KJP,31141,2
DHARWAD ,Kalghatgi,GEN,P C SIDDANAGOUDAR,M,GEN,63,JD(S),12300,3
DHARWAD ,Kalghatgi,GEN,IRAPPA CHANNAPPA SALAGAR(VEERESH),M,GEN,44,BJP,6863,4
DHARWAD ,Kalghatgi,GEN,HUSAINASAB MAHABOOBASAB TORGAL,M,GEN,36,IND,1908,5
DHARWAD ,Kalghatgi,GEN,AKKI SHIVAPPA YALLAPPA,M,GEN,55,IND,1152,6
DHARWAD ,Kalghatgi,GEN,BASAVA PRASAD JADHAV,M,GEN,36,IND,818,7
DHARWAD ,Kalghatgi,GEN,SHOBHA V BALLARI (HUKKERI),F,SC,50,BSP,604,8
UTTARA KANNADA ,Haliyal,GEN,DESHPANDE. R. V.,M,GEN,66,INC,55005,1
UTTARA KANNADA ,Haliyal,GEN,SUNIL  HEGADE,M,GEN,47,JD(S),49066,2
UTTARA KANNADA ,Haliyal,GEN,DHULI RAJU,M,GEN,48,BJP,7844,3
UTTARA KANNADA ,Haliyal,GEN,RAVI REDKAR,M,GEN,47,KJP,2356,4
UTTARA KANNADA ,Haliyal,GEN,SHIVANAND. B. GAGGARI,M,GEN,45,IND,1547,5
UTTARA KANNADA ,Haliyal,GEN,V. B. RAMACHANDRA,M,SC,27,IND,954,6
UTTARA KANNADA ,Haliyal,GEN,CHOUGULA. SANJEEVKUMAR,M,GEN,30,BSRCP,709,7
UTTARA KANNADA ,Haliyal,GEN,M. R. MEGHARAJ,M,GEN,29,BSP,615,8
UTTARA KANNADA ,Haliyal,GEN,JAHANGIR KHAN BABAKHAN,M,GEN,51,IND,580,9
UTTARA KANNADA ,Haliyal,GEN,PREMANAND V.  GAVAS,M,GEN,44,IND,469,10
UTTARA KANNADA ,Haliyal,GEN,CHANDRAKANT SUBAS KADROLLI,M,SC,35,IND,334,11
UTTARA KANNADA ,Haliyal,GEN,ELIYA  KATI,M,GEN,34,IND,261,12
UTTARA KANNADA ,Haliyal,GEN,INDIRA NIMBAL,F,SC,42,IND,253,13
UTTARA KANNADA ,Haliyal,GEN,UDAY BABU KHALWADEKAR,M,GEN,61,IND,157,14
UTTARA KANNADA ,Karwar,GEN,SANTEESH SAIL KRISHNA,M,GEN,45,IND,80727,1
UTTARA KANNADA ,Karwar,GEN,ASNOTIKAR ANAND VASANT,M,GEN,33,BJP,44847,2
UTTARA KANNADA ,Karwar,GEN,RAMANAND BOMMAYYA NAYAK,M,GEN,64,INC,12756,3
UTTARA KANNADA ,Karwar,GEN,DR|| SANJU NAYAK,M,GEN,38,JD(S),1568,4
UTTARA KANNADA ,Karwar,GEN,ANTHON V FERNANDES,M,GEN,34,KJP,1108,5
UTTARA KANNADA ,Karwar,GEN,SAIL SHRIKANT GANAPATI,M,GEN,48,IND,1009,6
UTTARA KANNADA ,Karwar,GEN,SANJAY BABURAO NAIK,M,GEN,48,IND,880,7
UTTARA KANNADA ,Karwar,GEN,LAXMESHWAR NAGESH VINAYAK,M,SC,45,BSP,680,8
UTTARA KANNADA ,Karwar,GEN,MANJULA RAMU NAIK,F,GEN,32,BSRCP,540,9
UTTARA KANNADA ,Karwar,GEN,SUBHASH GANAPATI NAIK,M,GEN,28,IND,409,10
UTTARA KANNADA ,Karwar,GEN,DEEPAK BHASKAR KUDALKAR,M,SC,42,IND,361,11
UTTARA KANNADA ,Karwar,GEN,SATISH GANAPATI ULVEKAR,M,GEN,37,IND,341,12
UTTARA KANNADA ,Karwar,GEN,UDAY BABU KHALWADEKAR,M,GEN,61,IND,213,13
UTTARA KANNADA ,Kumta,GEN,SHARDA MOHAN SHETTY,F,GEN,51,INC,36756,1
