District,Constituency,Constituency Category,Candidate,Gender,Candidate Category,Age,Party,Votes,Winner,Winning Party,Lost By Votes,Lost By (percentage)
Warangal,Ghanpur (Station),SC,DR.GUNDE VIJAYA RAMA RAO,M,SC,59,INC,44833,THATIKONDA RAJAIAH,TRS,58829,56.75078621
Warangal,Palakurthi,GEN,DUGYALA SHRINIVAS RAO,M,GEN,51,INC,53486,DAYAKER RAO ERRABELLI,TDP,4313,7.462066818
Warangal,Dornakal ,ST,SATHYAVATHI RATHOD,F,ST,46,TRS,60639,D.S. REDYA NAIK,INC,23531,27.95651657
Warangal,Mahabubabad ,ST,KAVITHA MALOTHU,F,ST,34,INC,69055,BANOTH SHANKAR NAYAK,TRS,9315,11.88592574
Warangal,Narsampet ,GEN,PEDDI SUDARSHAN REDDY,M,GEN,42,TRS,57768,DONTHI MADHAVA REDDY,IND,18376,24.13322126
Warangal,Parkal,GEN,SAHODER REDDY MUDDASANI,M,GEN,62,TRS,58324,CHALLA DHARMA REDDY,TDP,9108,13.50694033
Warangal,Warangal West,GEN,SWARNA ERRABELLI,F,GEN,55,INC,27188,DASYAM VINAY BHASKER,TRS,56304,67.43640109
Warangal,Warangal East,GEN,BASWARAJU SARAIAH,M,GEN,58,INC,33556,KONDA SUREKHA,TRS,55085,62.14392888
Warangal,Wardhanapet ,SC,KONDETI SHRIDHAR,M,SC,41,INC,30825,AROORI RAMESH,TRS,86883,73.81231522
Warangal,Bhupalpalle,GEN,GANDRA VENKATA RAMANA REDDY,M,GEN,47,INC,57899,MADHUSUDANA CHARY SIRIKONDA,TRS,7214,11.07920077
Warangal,Mulug ,ST,PODEM VEERAIAH,M,ST,48,INC,41926,AZMEERA CHANDULAL,TRS,16399,28.11658808
Khammam,Pinapaka ,ST,DR.SHANKAR. N,M,ST,36,TRS,28410,PAYAM VENKATESWARLU,YSRCP,14065,33.11359623
Khammam,Yellandu ,ST,BANOTHU  HARIPRIYA,F,ST,29,TDP,33438,KORAM KANAKAIAH,INC,11507,25.60240294
Khammam,Khammam,GEN,THUMMALA NAGESWAR RAO,M,GEN,60,TDP,64783,AJAY KUMAR PUVVADA,INC,5682,8.063577663
Khammam,Palair,GEN,BABY SWARNA KUMARI MADDINENI,F,GEN,51,TDP,47844,RAMIREDDY VENKATAREDDY,INC,21863,31.36413847
Khammam,Madhira ,SC,KAMAL RAJU LINGALA,M,SC,42,CPM,52806,BHATTI VIKRAMARKA MALLU,INC,12329,18.92837952
Khammam,Wyra ,ST,BANOTH BALAJI,M,ST,36,TDP,48735,BANOTH MADAN LAL,YSRCP,10583,17.84112748
Khammam,Sathupalli ,SC,MATTA DAYANAND VIJAY KUMAR,M,SC,50,YSRCP,73005,SANDRA VENKATA VEERAIAH,TDP,2485,3.291826732
Khammam,Kothagudem ,GEN,VANAMA VENKATESHWARA RAO,M,GEN,69,YSRCP,34167,VENKAT RAO JALAGAM,TRS,16521,32.59351326
Khammam,Aswaraopeta ,ST,MECHA NAGESWARA RAO,M,ST,49,TDP,48616,THATI VENKATESWARLU,YSRCP,930,1.877043555
Khammam,Bhadrachalam ,ST,K.P.R.K. PHANEESWARAMMA,F,ST,49,TDP,55935,SUNNAM RAJAIAH,CPM,1815,3.142857143
