District,Constituency,Constituency Category,Candidate,Gender,Candidate Category,Age,Party,Votes,Position,Winner,Winning Party,Lost By Votes,Lost By (percentage)
UTTARA KANNADA ,Kumta,GEN,DINAKAR KESHAV SHETTY,M,GEN,56,JD(S),36336,2,SHARDA MOHAN SHETTY,INC,420,1.14
UTTARA KANNADA ,Bhatkal,GEN,ENAYATHULLAH SHABANDRI,M,GEN,50,JD(S),27435,2,MANKALA SUBBA VAIDYA,IND,9884,26.49
UTTARA KANNADA ,Sirsi,GEN,AYYAPPANAGAR DEEPAK HONNAVAR,M,GEN,52,INC,39795,2,ANANT KAGERI VISHWESHWAR HEGDE,BJP,3059,7.14
UTTARA KANNADA ,Yellapur,GEN,PATIL VEERABHADRAGOUDA SHIVANAGOUDA,M,GEN,54,BJP,33533,2,ARBAIL SHIVARAM HEBBAR,INC,24492,42.21
HAVERI ,Hangal,GEN,UDASI C.M,M,GEN,77,KJP,60638,2,MANOHAR H. TAHASHILDAR,INC,5686,8.57
HAVERI ,Shiggaon,GEN,KHADRI SAYED AZIMPEER SAYED KADERBASHA,M,GEN,49,INC,63504,2,BASAVARAJ BOMMAI,BJP,9503,13.02
HAVERI ,Haveri,SC,NEHARU OLEKARA,M,SC,56,KJP,52911,2,RUDRAPPA MANAPPA LAMANI,INC,30208,36.34
HAVERI ,Byadgi,GEN,SHIVARAJ SAJJANAR,M,GEN,54,KJP,44348,2,BASAVARAJ NEELAPPA SHIVANNANAVAR,INC,13359,23.15
HAVERI ,Hirekerur,GEN,B.C.PATIL,M,GEN,57,INC,50017,2,U. B. BANAKAR,KJP,2606,4.95
HAVERI ,Ranibennur,GEN,R.SHANKAR,M,GEN,48,IND,46992,2,KOLIWAD K.B,INC,6788,12.62
BELLARY ,Hadagalli,SC,B.CHANDRANAIK,M,SC,51,BJP,18526,2,P.T.PARAMESHWARANAIK,INC,40810,68.78
BELLARY ,Hagaribommanahalli,SC,K NEMARAJA NAIK,M,SC,43,BJP,51847,2,BHEEMANAIK LBP,JD(S),125,0.24
BELLARY ,Vijayanagara,GEN,H.ABDUL WAHAB,M,GEN,70,INC,39358,2,ANAND SINGH,BJP,30637,43.77
BELLARY ,Kampli,ST,J.N. GANESH,M,ST,34,IND,36462,2,T.H. SURESH BABU,BSRCP,34396,48.54
BELLARY ,Siruguppa,ST,M.S. SOMALINGAPPA,M,ST,53,BJP,43676,2,B.M. NAGARAJA,INC,21814,33.31
BELLARY ,Bellary,ST,OBALESH,M,,,BJP,50802,2,NY GOPALAKRISHNA,INC,33104,39.45
BELLARY ,Bellary City,GEN,S. MURALI KRISHNA,M,GEN,44,BSRCP,33898,2,ANIL LAD,INC,18200,34.93
BELLARY ,Sandur,ST,DHANANJAYA.R,M,ST,43,JD(S),27615,2,E.TUKARAM,INC,34631,55.64
BELLARY ,Kudligi,ST,S. VENKATESHA,M,ST,50,INC,46674,2,B. NAGENDRA,IND,24803,34.70
CHITRADURGA ,Molakalmuru,ST,N. Y. GOPALAKRISHNA,M,ST,60,INC,69658,2,S. THIPPESWAMY,BSRCP,7169,9.33
CHITRADURGA ,Challakere,ST,K T KUMARASWAMY,M,ST,29,KJP,37074,2,T RAGHUMURTHY,INC,23123,38.41
