District,Constituency,Constituency Category,Candidate,Gender,Candidate Category,Age,Party,Votes,Position,Winner,Winning Party,Lost By Votes,Lost By (percentage)
MYSORE ,Heggadadevankote,ST,CHIKKANNA,M,ST,68,INC,36108,2,CHIKKAMADU S,JD(S),12498,25.71
MYSORE ,Nanjangud,SC,V.SRINIVASA PRASAD,M,,,BJP,64878,2,KALALE.N.KESHAVAMURTHY,INC,21334,24.75
MYSORE ,Chamundeshwari,GEN,M. SATHYANARAYANA,M,GEN,68,INC,68761,2,G.T. DEVE GOWDA,JD(S),7103,9.36
MYSORE ,Krishnaraja,GEN,S.A.RAMADAS,M,GEN,56,BJP,46546,2,M.K.SOMASHEKAR,INC,6065,11.53
MYSORE ,Chamaraja,GEN,H.S.SHANKARALINGE GOWDA,M,GEN,66,JD(S),29015,2,VASU,INC,12915,30.80
MYSORE ,Narasimharaja,GEN,ABDUL MAJID K H,M,GEN,45,SDPI,29667,2,TANVEER SAIT,INC,8370,22.00
MYSORE ,Varuna,GEN,KAPU SIDDALINGASWAMY,M,GEN,47,KJP,54744,2,SIDDARAMAIAH,INC,29641,35.13
MYSORE ,T.narasipur,SC,M.C.SUNDARESHAN,M,SC,59,JD(S),52896,2,DR. H.C. MAHADEVAPPA,INC,323,0.61
CHAMARAJNAGAR ,Hanur,GEN,PARIMALA NAGAPPA,F,GEN,64,JD(S),44135,2,R.NARENDRA,INC,11549,20.74
CHAMARAJNAGAR ,Kollegal,SC,N. MAHESH,M,SC,57,BSP,37209,2,S. JAYANNA,INC,10193,21.50
CHAMARAJNAGAR ,Chamarajanagar,GEN,K.R.MALLIKARJUNAPPA,M,GEN,59,KJP,43244,2,C.PUTTARANGASHETTY,INC,11196,20.57
CHAMARAJNAGAR ,Gundlupet,GEN,C. S. NIRANJAN KUMAR,M,,,BJP,79383,2,M.C. MOHAN KUMARI URUFGEETHA,INC,10877,12.05
